,Topic,Time Queried,Title,Video IDs,Published At,Duration,View Count,Like Count
0,OperatingSystem,2022-07-12 12:57:57.523407,Operating Systems: Crash Course Computer Science #18,26QPDBe-NB8,2017-06-28T21:13:17Z,PT13M36S,1157544,20606
1,OperatingSystem,2022-07-12 12:57:57.523417,What is an Operating System as Fast As Possible,pVzRTmdd9j0,2015-05-22T20:46:16Z,PT5M16S,516420,10924
2,OperatingSystem,2022-07-12 12:57:57.523421,Operating System Full Course | Operating System Tutorials for Beginners,mXw9ruZaxzQ,2019-08-30T15:47:26Z,PT3H35M3S,1591019,7594
3,OperatingSystem,2022-07-12 12:57:57.523424,Computer Basics: Understanding Operating Systems,fkGCLIQx1MI,2020-09-01T14:06:19Z,PT1M31S,495186,3261
4,OperatingSystem,2022-07-12 12:57:57.523428,Operating System Basics,9GDX-IyZ_C8,2013-10-11T03:54:06Z,PT23M16S,554991,7942
5,OperatingSystem,2022-07-12 12:57:57.523431,Introduction to Operating System,vBURTt97EkA,2017-08-02T15:30:02Z,PT16M45S,1593869,19577
6,OperatingSystem,2022-07-12 12:57:57.523435,Operating System Structure,fvN98a_7AT4,2018-02-27T01:30:00Z,PT12M17S,275556,3443
7,OperatingSystem,2022-07-12 12:57:57.523438,Functions of an Operating System (What is an operating system?),ZZK8ETiYrpY,2020-05-13T22:05:10Z,PT7M29S,17845,218
8,OperatingSystem,2022-07-12 12:57:57.523442,Build Your Own Operating System,YbXHU7W7Its,2021-01-29T13:15:01Z,PT30M,422828,13374
9,OperatingSystem,2022-07-12 12:57:57.523446,Linux Operating System - Crash Course for Beginners,ROjZy1WbCIA,2022-02-23T13:43:25Z,PT2H47M56S,435711,10492
10,OperatingSystem,2022-07-12 12:57:57.523465,How To Make An Operating System,6MJUGVFAXKg,2010-08-03T03:25:09Z,PT8M31S,1841372,23049
11,OperatingSystem,2022-07-12 12:57:57.523476,Operating system for beginners || Operating system basics,6-mdtMKfEYM,2021-02-14T14:35:13Z,PT23M36S,61106,1160
12,OperatingSystem,2022-07-12 12:57:57.523480,introduction to operating system and its Functions | Operating System,RozoeWzT7IM,2019-03-16T19:08:44Z,PT23M56S,732603,13210
13,OperatingSystem,2022-07-12 12:57:57.523484,What Operating System is the Best,iADaZX8dQk4,2021-08-14T13:15:01Z,PT16M4S,38172,1434
